Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link,Full_Name,Country,Age,Height,Weight,BMI,AvgFightTimeLong,AvgFightTimeShort,TakedownsLanded,TakedownDefense,TakedownAccuracy,SubmissionAttempts,SubmissionAverage,SigStrikesLanded,SigStrikesAccuracy,Knockdowns,SLpM,SApM,PlusMinus,SigStrikingDefense,TotStrikesLanded
241895,Cris,,Cyborg,Women_Featherweight,1194.0,20,1,0,True,C,11,Active,http://www.ufc.com/fighter/cris-cyborg,Cris Cyborg,Brazil,33,68.0,145.0,22.044766435986162,,,,,,,,,58.16,,6.81,,4.84,72.70,
573335,Valentina,Bullet,Shevchenko,Women_Flyweight,2731.0,16,3,0,True,C,,Active,http://www.ufc.com/fighter/valentina-shevchenko,Valentina Shevchenko,Kyrgyzstan,30,65.0,125.0,20.798816568047336,17:42,,,,,,,,,,,,,,
490666,Henry,The Messenger,Cejudo,Flyweight,2299.0,13,2,0,True,C,10,Active,http://www.ufc.com/fighter/henry-cejudo,Henry Cejudo,United States,31,64.0,125.0,21.453857421875,,,,,,,,,,,,,,,
231394,TJ,,Dillashaw,Bantamweight,1905.0,17,3,0,True,C,5,Active,http://www.ufc.com/fighter/tj-dillashaw,TJ Dillashaw,United States,32,66.0,135.0,21.787190082644628,,,,,,,,,,,,,,,
235332,Max,Blessed,Holloway,Featherweight,1936.0,20,3,0,True,C,4,Active,http://www.ufc.com/fighter/max-holloway,Max Holloway,United States,27,71.0,145.0,20.221186272564967,,,,,,,,1627,,,6.90,,2.87,,1773
232925,Khabib,The Eagle,Nurmagomedov,Lightweight,1919.0,27,0,0,True,C,2,Active,http://www.ufc.com/fighter/khabib-nurmagomedov,Khabib Nurmagomedov,Russian Federation,30,70.0,155.0,22.237755102040815,,,52,,,,,,,,,,,,
241944,Tyron,The Chosen One,Woodley,Welterweight,1386.0,19,3,1,True,C,7,Active,http://www.ufc.com/fighter/tyron-woodley,Tyron Woodley,United States,36,69.0,170.0,25.101869355177485,,,,97.60,,,,,,,,,,,
290162,Robert,The Reaper,Whittaker,Middleweight,2037.0,21,4,0,True,C,12,Active,http://www.ufc.com/fighter/robert-whittaker,Robert Whittaker,Australia,28,72.0,185.0,25.087770061728396,,,,,,,,,,,,,,,
241888,Daniel,DC,Cormier,Heavyweight,1409.0,22,1,0,True,C,1,Active,http://www.ufc.com/fighter/daniel-cormier,Daniel Cormier,United States,39,71.0,265.0,36.955961118825634,,,,,,,,,,,,,,,
241888,Daniel,DC,Cormier,Heavyweight,1409.0,22,1,0,True,C,1,Active,http://www.ufc.com/fighter/daniel-cormier,Daniel Cormier,United States,39,71.0,265.0,36.955961118825634,,,,,,,,,,,,,,,
