Fighter_ID,First_Name,Nickname,Last_Name,Weight_Class,StatID,Wins,Losses,Draws,Title_Holder,Rank,P4P_Rank,Status,Link
241895,Cris,,Cyborg,Women_Featherweight,1194,20,1,0,True,C,11,Active,http://www.ufc.com/fighter/cris-cyborg
573335,Valentina,Bullet,Shevchenko,Women_Flyweight,2731,16,3,0,True,C,,Active,http://www.ufc.com/fighter/valentina-shevchenko
490666,Henry,The Messenger,Cejudo,Flyweight,2299,13,2,0,True,C,10,Active,http://www.ufc.com/fighter/henry-cejudo
231394,TJ,,Dillashaw,Bantamweight,1905,17,3,0,True,C,5,Active,http://www.ufc.com/fighter/tj-dillashaw
235332,Max,Blessed,Holloway,Featherweight,1936,20,3,0,True,C,4,Active,http://www.ufc.com/fighter/max-holloway
232925,Khabib,The Eagle,Nurmagomedov,Lightweight,1919,27,0,0,True,C,2,Active,http://www.ufc.com/fighter/khabib-nurmagomedov
241944,Tyron,The Chosen One,Woodley,Welterweight,1386,19,3,1,True,C,7,Active,http://www.ufc.com/fighter/tyron-woodley
290162,Robert,The Reaper,Whittaker,Middleweight,2037,21,4,0,True,C,12,Active,http://www.ufc.com/fighter/robert-whittaker
241888,Daniel,DC,Cormier,Heavyweight,1409,22,1,0,True,C,1,Active,http://www.ufc.com/fighter/daniel-cormier
501827,Rose,Thug,Namajunas,Women_Strawweight,2344,9,3,0,True,C,15,Active,http://www.ufc.com/fighter/rose-namajunas
242516,Amanda,The Lioness,Nunes,Women_Bantamweight,1719,16,4,0,True,C,14,Active,http://www.ufc.com/fighter/amanda-nunes
,To be determined...,,,Light_Heavyweight,,0,0,0,True,,,,http://www.ufc.com/fighter/not-found
586,Gilbert,El Niño,Melendez,Lightweight,778,22,7,0,False,,,Active,http://www.ufc.com/fighter/gilbert-melendez
1177,Court,The Crusher,McGee,Welterweight,1543,20,7,1,False,,,Active,http://www.ufc.com/fighter/court-mcgee
453461,Paddy,The Hooligan,Holohan,Flyweight,2274,12,2,1,False,,,NotFighting,http://www.ufc.com/fighter/patrick-holohan
620099,Justin,Big Pretty,Willis,Heavyweight,2867,6,1,0,False,9,,Active,http://www.ufc.com/fighter/justin-willis
640578,Mara,Kunoichici,Romero Borella,Women_Flyweight,3011,12,5,0,False,12,,Active,http://www.ufc.com/fighter/mara-romero-borella
587586,JJ,,Aldrich,Women_Strawweight,2848,7,2,0,False,,,Active,http://www.ufc.com/fighter/jj-aldrich
640579,Kalindra,,Faria,,3012,18,8,1,False,,,Active,http://www.ufc.com/fighter/kalindra-faria
652656,Ricky,The Sniper,Rainey,Welterweight,2511,13,5,0,False,,,Active,http://www.ufc.com/fighter/ricky-rainey
590,Tim,,Kennedy,Middleweight,1403,18,6,0,False,,,NotFighting,http://www.ufc.com/fighter/tim-kennedy
1180,Brad,,Tavares,Middleweight,1546,17,6,0,False,10,,Active,http://www.ufc.com/fighter/brad-tavares
472614,Pedro,The Young Punisher,Munhoz,Bantamweight,2191,16,3,0,False,9,,Active,http://www.ufc.com/fighter/pedro-munhoz
498883,Larissa,,Pacheco,Women_Bantamweight,2320,10,2,0,False,,,Active,http://www.ufc.com/fighter/larissa-pacheco
587587,Ashley,SpiderMonkey,Yoder,Women_Strawweight,2845,6,4,0,False,,,Active,http://www.ufc.com/fighter/ashley-yoder
5,Matt,,Hughes,Welterweight,187,46,9,0,False,,,NotFighting,http://www.ufc.com/fighter/matt-hughes
1181,Kyle,,Noke,Welterweight,1549,22,10,1,False,,,NotFighting,http://www.ufc.com/fighter/kyle-noke
499765,Paul,The Irish Dragon,Felder,Lightweight,2316,15,4,0,False,15,,Active,http://www.ufc.com/fighter/paul-felder
587588,Joshua,The Sandman,Stansbury,Light_Heavyweight,2794,8,5,0,False,,,Active,http://www.ufc.com/fighter/joshua-stansbury
621769,Desmond,The Predator,Green,Lightweight,2872,21,8,0,False,,,Active,http://www.ufc.com/fighter/desmond-green
485166,Jason,,Saggo,Lightweight,2243,12,4,0,False,,,Active,http://www.ufc.com/fighter/jason-saggo
621780,Cynthia,,Calvillo,Women_Strawweight,2870,6,1,0,False,12,,Active,http://www.ufc.com/fighter/cynthia-calvillo
653083,Dan,The Hitman,Moret,Lightweight,3061,13,5,0,False,,,Active,http://www.ufc.com/fighter/dan-moret
899,Cain,,Velasquez,Heavyweight,497,14,2,0,False,,,Active,http://www.ufc.com/fighter/cain-velasquez
226169,Alistair,The Demolition Man,Overeem,Heavyweight,808,43,17,0,False,6,,Active,http://www.ufc.com/fighter/alistair-overeem
535498,Jessica,Jag,Aguilar,Women_Strawweight,2569,20,6,0,False,,,Active,http://www.ufc.com/fighter/jessica-aguilar
587590,Jamie,,Moyle,Women_Strawweight,2832,4,3,0,False,,,Active,http://www.ufc.com/fighter/jamie-moyle
621781,Daniel,Daddy Long Legs,Spitz,Heavyweight,2875,6,2,0,False,,,Active,http://www.ufc.com/fighter/daniel-spitz
485169,Dan,The Hangman,Hooker,Lightweight,2254,18,7,0,False,14,,Active,http://www.ufc.com/fighter/dan-hooker
587591,Elias,,Urbina,Light_Heavyweight,2996,3,1,0,False,,,Active,http://www.ufc.com/fighter/elias-urbina
640649,Nadia,,Kassem,Women_Strawweight,2894,5,0,0,False,,,Active,http://www.ufc.com/fighter/nadia-kassem
1185,Chris,,Camozzi,Middleweight,1550,24,13,0,False,,,Active,http://www.ufc.com/fighter/chris-camozzi
587592,Khalil,,Rountree Jr.,Light_Heavyweight,2790,8,2,0,False,,,Active,http://www.ufc.com/fighter/khalil-rountree
621859,Cindy,Battle Cat,Dandois,Women_Bantamweight,2873,8,3,0,False,,,Active,http://www.ufc.com/fighter/cindy-dandois
641213,Nasrat,,Haqparast,Lightweight,3014,10,2,0,False,,,Active,http://www.ufc.com/fighter/nasrat-haqparast
226175,Mitch,Danger Zone,Clarke,Lightweight,1891,11,5,0,False,,,Active,http://www.ufc.com/fighter/mitch-clarke
309715,Ilir,The Sledgehammer,Latifi,Light_Heavyweight,2060,15,5,0,False,5,,Active,http://www.ufc.com/fighter/ilir-latifi
453490,Tonya,Triple Threat,Evinger,Women_Featherweight,1200,19,7,0,False,11,,Active,http://www.ufc.com/fighter/tonya-evinger
621921,Andre,The Asian Sensation ,Soukhamthath,Bantamweight,2874,13,6,0,False,,,Active,http://www.ufc.com/fighter/andre-soukhamthath
641333,Sheymon,,Moraes,Featherweight,3017,11,2,0,False,,,Active,http://www.ufc.com/fighter/sheymon-moraes
904,Dong Hyun,The Stun Gun,Kim,Welterweight,455,22,4,1,False,,,Active,http://www.ufc.com/fighter/dong-hyun-kim
641432,Michal,Lord,Oleksiejczuk,Light_Heavyweight,3016,13,2,0,False,,,Active,http://www.ufc.com/fighter/michael-oleksiejczuk
653900,Nathaniel,The Prospect,Wood,Bantamweight,3062,14,3,0,False,,,Active,http://www.ufc.com/fighter/nathaniel-wood
589459,Luan,Tarzan,Chagas,Welterweight,2772,15,2,1,False,,,Active,http://www.ufc.com/fighter/luan-chagas
641486,Salim,Grizzly,Touahri,Welterweight,3019,10,2,0,False,,,Active,http://www.ufc.com/fighter/salim-touahri
589584,Josh,,Emmett,Featherweight,2773,13,2,0,False,9,,Active,http://www.ufc.com/fighter/josh-emmett
226420,Cung,,Le,Middleweight,1001,9,3,0,False,,,NotFighting,http://www.ufc.com/fighter/cung-le
500044,Holly,The Preacher's Daughter,Holm,Women_Featherweight,2317,12,4,0,False,2,,Active,http://www.ufc.com/fighter/holly-holm
654154,Don,Magic Man,Madge,Lightweight,3063,8,1,0,False,,,Active,http://www.ufc.com/fighter/don-madge
15,Andrei,The Pit Bull,Arlovski,Heavyweight,367,27,17,0,False,13,,Active,http://www.ufc.com/fighter/andrei-arlovski
464235,Ryan,Baby Face,Benoit,Flyweight,2134,10,5,0,False,13,,Active,http://www.ufc.com/fighter/ryan-benoit
535918,Arnold,Almighty,Allen,Featherweight,2570,13,1,0,False,,,Active,http://www.ufc.com/fighter/arnold-allen
654330,Said,,Nurmagomedov,Flyweight,3066,11,1,0,False,12,,Active,http://www.ufc.com/fighter/said-nurmagomedov
660910,David,Sagat,Zawada,Welterweight,3159,16,4,0,False,,,Active,http://www.ufc.com/fighter/david-zawada
623083,Davi,Tasmanian Devil,Ramos,Lightweight,2877,8,2,0,False,,,Active,http://www.ufc.com/fighter/davi-ramos
654331,Jennifer,,Maia,Women_Flyweight,3065,15,5,1,False,14,,Active,http://www.ufc.com/fighter/jennifer-maia
453503,Sarah,Cheesecake,Moras,Women_Bantamweight,2240,5,5,0,False,,,Active,http://www.ufc.com/fighter/sarah-moras
911,Jose,,Aldo,Featherweight,1052,27,4,0,False,2,,Active,http://www.ufc.com/fighter/jose-aldo
266905,Marcelo,,Guimaraes,Middleweight,1989,9,2,1,False,,,Active,http://www.ufc.com/fighter/marcelo-guimaraes
514567,Renato,,Moicano,Featherweight,2375,12,1,1,False,4,,Active,http://www.ufc.com/fighter/renato-moicano
623219,Deiveson,Deus da Guerra,Figueiredo,Flyweight,2878,15,0,0,False,4,,Active,http://www.ufc.com/fighter/deiveson-alcantara
19,Vitor,The Phenom,Belfort,Middleweight,295,26,14,0,False,,,Active,http://www.ufc.com/fighter/vitor-belfort
453508,Gina,Danger,Mazany,Women_Bantamweight,2866,5,2,0,False,,,Active,http://www.ufc.com/fighter/gina-mazany
591269,Jordan,,Rinaldi,Featherweight,2774,14,6,0,False,,,Active,http://www.ufc.com/fighter/jordan-rinaldi
654789,Darko,,Stosic,Light_Heavyweight,3067,13,1,0,False,,,Active,http://www.ufc.com/fighter/darko-stosic
267088,Hacran,,Dias,Lightweight,1980,23,6,1,False,,,Active,http://www.ufc.com/fighter/hacran-dias
453509,Roxanne,The Happy Warrior,Modafferi,Women_Flyweight,1430,23,15,0,False,7,,Active,http://www.ufc.com/fighter/roxanne-modafferi
623650,Lucie,,Pudilova,Women_Bantamweight,2879,8,2,0,False,14,,Active,http://www.ufc.com/fighter/lucie-pudilova
654846,Hector,El Charro,Aldana,Welterweight,3069,4,1,0,False,,,Active,http://www.ufc.com/fighter/hector-aldana
453510,Julianna,The Venezuelan Vixen,Peña,Women_Bantamweight,1511,9,3,0,False,,,Active,http://www.ufc.com/fighter/julianna-pena
623818,Magomed,Chaborz,Bibulatov,Flyweight,2880,14,1,0,False,11,,Active,http://www.ufc.com/fighter/magomed-bibulatov
641626,Marcelo,,Golm,Heavyweight,3013,6,2,0,False,,,Active,http://www.ufc.com/fighter/marcelo-golm
654847,Petr,No Mercy,Yan,Bantamweight,3068,10,1,0,False,,,Active,http://www.ufc.com/fighter/Petr-Yan
285,Rich,Ace,Franklin,Middleweight,220,29,7,0,False,,,NotFighting,http://www.ufc.com/fighter/rich-franklin
916,Mark,The Filipino Wrecking Machine,Munoz,Middleweight,653,14,6,0,False,,,NotFighting,http://www.ufc.com/fighter/mark-munoz
8925,Mark,Super Samoan,Hunt,Heavyweight,735,13,13,1,False,,,Active,http://www.ufc.com/fighter/mark-hunt
453512,Raquel,Rocky,Pennington,Women_Bantamweight,2150,9,8,0,False,4,,Active,http://www.ufc.com/fighter/raquel-pennington
464449,Tae Hyun,The Korean Cowboy,Bang,Lightweight,2145,18,10,0,False,,,Active,http://www.ufc.com/fighter/tae-hyun-bang
641628,Raoni,,Barcelos,Featherweight,3018,12,1,0,False,,,Active,http://www.ufc.com/fighter/raoni-barcelos
654933,Kevin,Trailblazer,Holland,Middleweight,3086,13,4,0,False,,,Active,http://www.ufc.com/fighter/kevin-holland
286,Duane,Bang,Ludwig,Welterweight,352,29,14,0,False,,,NotFighting,http://www.ufc.com/fighter/duane-ludwig
464450,Mairbek,Beckan,Taisumov,Lightweight,2144,27,5,0,False,,,Active,http://www.ufc.com/fighter/mairbek-taisumov
