Fighter,Date,Event,Class,Opponent,Method,Length,Result
Jim Miller,12/15/2018,UFC Fight Night: Lee vs. Iaquinta,Lightweight,Charles Oliveira,Submission,"R1, 1:15",Loss
Jim Miller,9/8/2018,UFC 228: Woodley vs. Till,Lightweight,Alex White,Submission,"R1, 1:29",Win
Jim Miller,4/21/2018,UFC Fight Night: Barboza vs. Lee,Lightweight,Dan Hooker,KO/TKO,"R1, 3:00",Loss
Jim Miller,10/28/2017,UFC Fight Night: Brunson vs. Machida,Lightweight,Francisco Trinaldo,Decision - Unanimous,R3,Loss
Jim Miller,7/8/2017,UFC 213: Romero vs. Whittaker,Lightweight,Anthony Pettis,Decision - Unanimous,R3,Loss
Jim Miller,2/11/2017,UFC 208: Holm vs. De Randamie,Lightweight,Dustin Poirier,Decision - Majority,R3,Loss
Jim Miller,11/12/2016,UFC 205: Alvarez vs McGregor,Catch Weight,Thiago Alves,Decision - Unanimous,R3,Win
Jim Miller,8/27/2016,UFC Fight Night: Maia vs. Condit,Lightweight,Joe Lauzon,Decision - Split,R3,Win
Jim Miller,7/9/2016,UFC 200: Tate vs Nunes,Lightweight,Takanori Gomi,KO/TKO,"R1, 2:18",Win
Jim Miller,3/5/2016,UFC 196: McGregor vs Diaz,Lightweight,Diego Sanchez,Decision - Unanimous,R3,Loss
Jim Miller,12/10/2015,UFC Fight Night: Namajunas vs. VanZant,Lightweight,Michael Chiesa,Submission,"R2, 2:57",Loss
Jim Miller,7/25/2015,UFC on FOX: Dillashaw vs. Barao II,Lightweight,Danny Castillo,Decision - Split,R3,Win
Jim Miller,4/18/2015,UFC Fight Night: Machida vs Rockhold,Lightweight,Beneil Dariush,Decision - Unanimous,R3,Loss
Jim Miller,7/16/2014,UFC Fight Night 45: Cerrone vs. Miller,Lightweight,Donald Cerrone,KO/TKO,"R2, 3:31",Loss
Jim Miller,4/26/2014,UFC 172: Jones vs. Teixeira,Lightweight,Yancy Medeiros,Submission,"R1, 3:18",Win
Jim Miller,12/28/2013,UFC 168: Weidman vs. Silva 2,Lightweight,Fabricio Camoes,Submission,"R1, 3:42",Win
Jim Miller,4/27/2013,UFC 159: Jones vs. Sonnen,Lightweight,Pat Healy,Overturned,"R3, 4:02",Draw
Jim Miller,12/29/2012,UFC 155: Dos Santos vs. Velasquez 2,Lightweight,Joe Lauzon,Decision - Unanimous,R3,Win
Jim Miller,5/5/2012,UFC on Fox 3,Lightweight,Nate Diaz,Submission,"R2, 4:09",Loss
Jim Miller,1/20/2012,UFC on FX 1,Lightweight,Melvin Guillard,Submission,"R1, 3:04",Win
Jim Miller,8/14/2011,UFC on Versus 5,Lightweight,Benson Henderson,Decision - Unanimous,R3,Loss
Jim Miller,3/19/2011,UFC 128: Shogun vs. Jones,Lightweight,Kamal Shalorus,KO/TKO,"R3, 2:15",Win
Jim Miller,12/11/2010,UFC 124: St. Pierre vs. Koscheck 2,Lightweight,Charles Oliveira,Submission,"R1, 1:59",Win
Jim Miller,9/15/2010,UFC Fight Night 22,Lightweight,Gleison Tibau,Decision - Unanimous,R3,Win
Jim Miller,3/27/2010,UFC 111: St. Pierre vs. Hardy,Lightweight,Mark Bocek,Decision - Unanimous,R3,Win
Jim Miller,1/2/2010,UFC 108: Evans vs. Silva,Lightweight,Duane Ludwig,Submission,"R1, 2:31",Win
Jim Miller,9/19/2009,UFC 103: Franklin vs. Belfort,Lightweight,Steve Lopez,KO/TKO,"R2, 0:48",Win
Jim Miller,7/11/2009,UFC 100,Lightweight,Mac Danzig,Decision - Unanimous,R3,Win
Jim Miller,3/7/2009,UFC 96: Jackson vs. Jardine,Lightweight,Gray Maynard,Decision - Unanimous,R3,Loss
Jim Miller,12/10/2008,UFC Fight Night 16 - Fight for the Troops,Lightweight,Matt Wiman,Decision - Unanimous,R3,Win
Jim Miller,10/18/2008,UFC 89: Bisping vs. Leben,Lightweight,David Baron,Submission,"R3, 3:19",Win
Michael Bisping,11/25/2017,UFC Fight Night: Bisping vs. Gastelum,Middleweight,Kelvin Gastelum,KO/TKO,"R1, 2:30",Loss
Michael Bisping,11/4/2017,UFC 217: Bisping vs. St-Pierre,Middleweight,Georges St-Pierre,Submission,"R3, 4:23",Title Loss
Michael Bisping,10/8/2016,UFC 204: Bisping vs. Henderson,Middleweight,Dan Henderson,Decision - Unanimous,R5,Title Win
Michael Bisping,6/4/2016,UFC 199: Rockhold vs. Bisping 2,Middleweight,Luke Rockhold,KO/TKO,"R1, 3:36",Title Win
Michael Bisping,2/27/2016,UFC Fight Night: Silva vs Bisping,Middleweight,Anderson Silva,Decision - Unanimous,R5,Win
Michael Bisping,7/18/2015,UFC Fight Night: Bisping vs Leites,Middleweight,Thales Leites,Decision - Split,R5,Win
Michael Bisping,4/25/2015,UFC 186: Johnson vs Horiguchi,Middleweight,CB Dollaway,Decision - Unanimous,R3,Win
Michael Bisping,11/7/2014,UFC Fight Night: Rockhold vs Bisping,Middleweight,Luke Rockhold,Submission,"R2, 0:57",Loss
Michael Bisping,8/23/2014,UFC Fight Night 48: Bisping vs. Le,Middleweight,Cung Le,KO/TKO,"R4, 0:57",Win
Michael Bisping,4/16/2014,UFC - TUF Nations: Canada vs. Australia Finale,Middleweight,Tim Kennedy,Decision - Unanimous,R5,Loss
Michael Bisping,4/27/2013,UFC 159: Jones vs. Sonnen,Middleweight,Alan Belcher,Decision - Unanimous,"R3, 4:31",Win
Michael Bisping,1/19/2013,UFC on FX 7,Middleweight,Vitor Belfort,KO/TKO,"R2, 1:27",Loss
Michael Bisping,9/22/2012,UFC 152: Jones vs. Belfort,Middleweight,Brian Stann,Decision - Unanimous,R3,Win
Michael Bisping,1/28/2012,UFC on Fox 2,Middleweight,Chael Sonnen,Decision - Unanimous,R3,Loss
Michael Bisping,12/3/2011,UFC - TUF 14 Finale,Middleweight,Jason Miller,KO/TKO,"R3, 3:34",Win
Michael Bisping,2/26/2011,UFC 127: Penn vs. Fitch,Middleweight,Jorge Rivera,KO/TKO,"R2, 1:54",Win
Michael Bisping,10/16/2010,UFC 120: Bisping vs. Akiyama,Middleweight,Yoshihiro Akiyama,Decision - Unanimous,R3,Win
Michael Bisping,5/29/2010,UFC 114: Jackson vs. Evans,Middleweight,Dan Miller,Decision - Unanimous,R3,Win
Michael Bisping,2/20/2010,UFC 110: Nogueira vs. Velasquez,Middleweight,Wanderlei Silva,Decision - Unanimous,R3,Loss
Michael Bisping,11/14/2009,UFC 105: Couture vs. Vera,Middleweight,Denis Kang,KO/TKO,"R2, 4:24",Win
Michael Bisping,7/11/2009,UFC 100,Middleweight,Dan Henderson,KO/TKO,"R2, 3:20",Loss
Michael Bisping,10/18/2008,UFC 89: Bisping vs. Leben,Middleweight,Chris Leben,Decision - Unanimous,R3,Win
Michael Bisping,6/7/2008,UFC 85: Bedlam,Middleweight,Jason Day,KO/TKO,"R1, 3:42",Win
Michael Bisping,4/19/2008,UFC 83: Serra vs. St-Pierre 2,Middleweight,Charles McCarthy,KO/TKO,"R1, 5:00",Win
Michael Bisping,11/17/2007,UFC 78: Validation,Light Heavyweight,Rashad Evans,Decision - Split,R3,Loss
Michael Bisping,9/8/2007,UFC 75: Champion vs. Champion,Light Heavyweight,Matt Hamill,Decision - Split,R3,Win
