Name,Link,Fights,TotStrike,StrikeAcc,HeadStrike,HeadAcc,BodyStrike,BodyAcc,LegStrike,LegAcc
Jim Miller,jim-miller-fighter,31,886,40.4%,524,32.8%,187,70.0%,175,81.8%
Michael Bisping,michael-bisping-fighter,30,1567,37.7%,1132,33.1%,195,68.9%,240,86.6%
Donald Cerrone,donald-cerrone-fighter,30,1154,49.5%,525,32.5%,301,74.1%,328,85.9%
Jeremy Stephens,jeremy-stephens-fighter,30,1037,39.8%,627,30.0%,174,71.9%,236,73.1%
Demian Maia,demian-maia-fighter,29,642,42.8%,520,39.9%,83,69.7%,39,78.0%
Diego Sanchez,diego-sanchez-fighter,29,945,36.5%,674,34.0%,223,67.6%,48,76.2%
Gleison Tibau,gleison-tibau-fighter,29,601,31.8%,467,31.2%,91,63.6%,43,89.6%
Andrei Arlovski,andrei-arlovski-fighter,28,705,41.5%,407,31.7%,117,69.6%,181,73.6%
Thiago Alves,thiago-alves-fighter,27,952,40.7%,490,28.2%,126,75.9%,336,76.7%
Matt Brown,matt-brown-fighter,27,829,54.0%,516,43.2%,237,80.6%,76,70.4%
Frank Mir,frank-mir-fighter,27,339,47.0%,182,31.2%,103,87.3%,54,90.0%
BJ Penn,bj-penn-fighter,27,932,48.6%,726,44.7%,153,86.0%,53,89.8%
Vitor Belfort,vitor-belfort-fighter,26,287,47.3%,231,38.3%,34,70.8%,22,88.0%
Rafael Dos Anjos,rafael-dos-anjos-fighter,26,1246,45.4%,710,38.8%,284,70.0%,252,82.6%
Frankie Edgar,frankie-edgar-fighter,26,1463,40.2%,967,36.3%,274,62.6%,222,76.0%
Clay Guida,clay-guida-fighter,26,685,31.1%,439,25.2%,99,63.9%,147,85.5%
Joe Lauzon,joe-lauzon-fighter,26,580,39.0%,513,41.8%,55,78.6%,12,66.7%
Ross Pearson,ross-pearson-fighter,25,1102,40.2%,587,28.8%,310,65.4%,205,82.3%
Anderson Silva,anderson-silva-fighter,24,740,61.0%,416,45.5%,152,81.3%,172,84.7%
Tim Boetsch,tim-boetsch-fighter,23,594,51.4%,344,39.3%,149,70.0%,101,85.6%
Nate Diaz,nate-diaz-fighter,23,1210,43.5%,906,39.5%,198,65.6%,106,75.7%
Rashad Evans,rashad-evans-fighter,23,614,37.6%,484,34.1%,87,64.0%,43,81.1%
Evan Dunham,evan-dunham-fighter,22,1225,39.2%,1037,42.9%,136,61.8%,52,89.7%
Nik Lentz,nik-lentz-fighter,22,895,49.8%,552,42.9%,217,79.8%,126,79.7%
Charles Oliveira,charles-oliveira-fighter,22,445,49.7%,235,42.0%,128,68.8%,82,78.8%
Dennis Siver,dennis-siver-fighter,22,869,32.4%,494,27.8%,118,51.8%,257,71.6%
Georges St-Pierre,georges-st-pierre-fighter,22,1313,53.2%,850,51.6%,245,71.8%,218,77.3%
Jake Ellenberger,jake-ellenberger-fighter,21,417,39.3%,307,35.1%,72,71.3%,38,80.9%
Johny Hendricks,johny-hendricks-fighter,21,885,45.7%,584,49.7%,77,73.3%,224,87.5%
