,StatID,Stat,Value,Rank
0,1828,AvgFightTimeShort,3:06,1
1,970,AvgFightTimeShort,3:18,2
2,2761,AvgFightTimeShort,3:24,3
3,1865,AvgFightTimeShort,4:24,4
4,2608,AvgFightTimeShort,4:44,5
5,2076,AvgFightTimeShort,4:51,6
6,2634,AvgFightTimeShort,4:57,7
7,2782,AvgFightTimeShort,5:08,8
8,2750,AvgFightTimeShort,5:10,9
9,2198,AvgFightTimeShort,5:26,10
10,1057,AvgFightTimeLong,21:00,1
11,1495,AvgFightTimeLong,18:34,2
12,2280,AvgFightTimeLong,18:29,3
13,2317,AvgFightTimeLong,17:51,4
14,2731,AvgFightTimeLong,17:42,5
15,1052,AvgFightTimeLong,17:08,6
16,451,AvgFightTimeLong,16:59,7
17,2729,AvgFightTimeLong,16:26,8
18,942,AvgFightTimeLong,16:05,9
19,439,AvgFightTimeLong,15:34,10
20,451,TotFightTime,6:47:33,1
21,368,TotFightTime,6:05:33,2
22,326,TotFightTime,6:00:34,3
23,545,TotFightTime,5:50:23,4
24,461,TotFightTime,5:44:45,5
25,532,TotFightTime,5:44:24,6
26,439,TotFightTime,5:42:35,7
27,361,TotFightTime,5:38:31,8
28,1495,TotFightTime,5:34:12,9
29,509,TotFightTime,5:18:37,10
30,439,TakedownsLanded,90,1
31,514,TakedownsLanded,84,2
32,1495,TakedownsLanded,74,3
33,451,TakedownsLanded,67,4
34,459,TakedownsLanded,63,5
35,1137,TakedownsLanded,61,6
36,326,TakedownsLanded,60,7
37,2281,TakedownsLanded,52,8
38,1919,TakedownsLanded,52,8
39,374,TakedownsLanded,50,10
40,1386,TakedownDefense,97.60,1
41,549,TakedownDefense,95.00,2
42,2847,TakedownDefense,94.10,3
43,961,TakedownDefense,93.20,4
44,1527,TakedownDefense,92.30,5
45,514,TakedownDefense,92.10,6
46,1744,TakedownDefense,91.20,7
47,1991,TakedownDefense,90.90,8
48,1052,TakedownDefense,90.60,9
49,2158,TakedownDefense,89.30,10
50,471,TakedownAccuracy,76.20,1
51,2227,TakedownAccuracy,76.20,1
52,439,TakedownAccuracy,73.80,3
53,1970,TakedownAccuracy,65.50,4
54,2017,TakedownAccuracy,65.00,5
55,1618,TakedownAccuracy,64.70,6
56,2126,TakedownAccuracy,63.90,7
57,1706,TakedownAccuracy,63.00,8
