Name,DoB,Age,Height,Weight,BMI,Reach,HR_Ratio,Style,City,Country,From,Trains
Jim Miller,1983-08-30,35,68,155,23.565095155709344,71.0,1.0441176470588236,Southpaw,Sparta,NJ,"Sparta, NJ","Sparta, NJ"
Michael Bisping,1979-02-28,39,73,185,24.405141677613067,75.5,1.0342465753424657,Orthodox,Manchester,GBR,"Manchester, GBR","Manchester, GBR"
Donald Cerrone,1983-03-29,35,73,170,22.426346406455245,73.0,1.0,Orthodox,Denver,CO,"Denver, CO","Denver, CO"
Jeremy Stephens,1986-05-25,32,68,145,22.044766435986162,71.0,1.0441176470588236,Orthodox,Des Moines,IA,"Des Moines, IA","Des Moines, IA"
Demian Maia,1977-11-06,41,73,170,22.426346406455245,72.0,0.9863013698630136,Southpaw,Sao Paulo,BRA,"Sao Paulo, BRA","Sao Paulo, SP"
Diego Sanchez,1981-12-31,36,70,170,24.38979591836735,72.0,1.0285714285714285,Southpaw,Albuquerque,NM,"Albuquerque, NM","Albuquerque, NM"
Gleison Tibau,1983-10-07,35,70,155,22.23775510204081,71.0,1.0142857142857142,Southpaw,Tibau,BRA,"Tibau, BRA","Tibau, RN"
Andrei Arlovski,1979-02-04,39,75,240,29.99466666666667,77.0,1.0266666666666666,Orthodox,Chicago,IL,"Chicago, IL","Chicago, IL"
Thiago Alves,1983-10-03,35,69,170,25.101869355177485,70.0,1.0144927536231885,Orthodox,Coconut Creek,FL,"Coconut Creek, FL","Coconut Creek, FL"
Matt Brown,1981-01-10,37,72,170,23.053626543209877,75.0,1.0416666666666667,Orthodox,Columbus,OH,"Columbus, OH","Columbus, OH"
Frank Mir,1979-05-24,39,75,264,32.99413333333333,79.0,1.0533333333333332,Southpaw,Las Vegas,NV,"Las Vegas, NV","Las Vegas, NV"
BJ Penn,1978-12-13,40,69,155,22.88699852972065,70.0,1.0144927536231885,Orthodox,Hilo,HI,"Hilo, HI","Hilo, HI"
Vitor Belfort,1977-04-01,41,72,185,25.087770061728396,74.0,1.0277777777777777,Southpaw,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Rafael Dos Anjos,1984-10-26,34,68,170,25.845588235294123,70.0,1.0294117647058822,Southpaw,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Frankie Edgar,1981-10-16,37,66,145,23.401056014692372,68.0,1.0303030303030305,Orthodox,Toms River,NJ,"Toms River, NJ","Toms River, NJ"
Clay Guida,1981-12-08,37,67,155,24.27378035197148,70.0,1.044776119402985,Orthodox,Johnsburg,IL,"Johnsburg, IL","Johnsburg, IL"
Joe Lauzon,1984-05-22,34,70,155,22.23775510204081,71.3,1.0185714285714285,Orthodox,Bridgewater,MA,"Bridgewater, MA","Bridgewater, MA"
Ross Pearson,1984-09-26,34,68,155,23.565095155709344,69.0,1.0147058823529411,Orthodox,Sunderland,GBR,"Sunderland, GBR","Sunderland, GBR"
Anderson Silva,1975-04-14,43,74,185,23.75,77.5,1.0472972972972974,Southpaw,Curitiba,BRA,"Curitiba, BRA","Curitiba, PR"
Tim Boetsch,1981-01-28,37,72,185,25.087770061728396,74.0,1.0277777777777777,Orthodox,Lincolnville,ME,"Lincolnville, ME","Lincolnville, ME"
Nate Diaz,1985-04-16,33,72,170,23.053626543209877,76.0,1.0555555555555556,Southpaw,Stockton,CA,"Stockton, CA","Stockton, CA"
Rashad Evans,1979-09-25,39,72,205,27.79996141975309,75.0,1.0416666666666667,Orthodox,Chicago,IL,"Chicago, IL","Chicago, IL"
Evan Dunham,1981-12-18,37,70,155,22.23775510204081,70.0,1.0,Southpaw,Las Vegas,NV,"Las Vegas, NV","Las Vegas, NV"
Nik Lentz,1984-08-13,34,68,155,23.565095155709344,68.0,1.0,Orthodox,Coconut Creek,FL,"Coconut Creek, FL","Coconut Creek, FL"
Charles Oliveira,1989-10-17,29,70,155,22.23775510204081,74.0,1.0571428571428572,Orthodox,Sao Paulo,BRA,"Sao Paulo, BRA","Sao Paulo, SP"
Dennis Siver,1979-01-13,39,66,145,23.401056014692372,70.0,1.0606060606060606,Orthodox,Mannheim,DEU,"Mannheim, DEU","Mannheim, BW"
Georges St-Pierre,1981-05-19,37,71,185,25.799444554651853,76.0,1.0704225352112675,Orthodox,Montreal,PQ,"Montreal, PQ","Montreal, PQ"
Jake Ellenberger,1985-03-28,33,69,170,25.101869355177485,71.5,1.036231884057971,Orthodox,Omaha,NE,"Omaha, NE","Omaha, NE"
Johny Hendricks,1983-09-12,35,69,185,27.316740180634323,69.0,1.0,Southpaw,Fort Worth,TX,"Fort Worth, TX","Fort Worth, TX"
Ed Herman,1980-10-02,38,73,205,27.043535372490147,77.0,1.0547945205479452,Orthodox,Portland,OR,"Portland, OR","Portland, OR"
Michael Johnson,1986-06-04,32,70,145,20.803061224489795,73.5,1.05,Southpaw,St. Louis,MO,"St. Louis, MO","St. Louis, MO"
Thales Leites,1981-09-06,37,73,185,24.405141677613067,78.0,1.0684931506849316,Orthodox,Rio de Janeiro,BRA,"Rio de Janeiro, BRA","Rio de Janeiro, RJ"
Neil Magny,1987-08-03,31,75,170,21.246222222222226,80.0,1.0666666666666669,Orthodox,Denver,CO,"Denver, CO","Denver, CO"
Dustin Poirier,1989-01-19,29,69,155,22.88699852972065,72.0,1.0434782608695652,Southpaw,Lafayette,LA,"Lafayette, LA","Lafayette, LA"
Mauricio Rua,1981-11-25,37,73,205,27.043535372490147,76.0,1.0410958904109588,Orthodox,Curitiba,BRA,"Curitiba, BRA","Curitiba, PR"
Stefan Struve,1988-02-18,30,83,265,27.042386413122372,84.5,1.0180722891566265,Orthodox,Beverwijk,NLD,"Beverwijk, NLD","Beverwijk, NLD"
