Name,Link,Wins,Losses,Draws,NC,W/L
Shamil Abdurakhimov,shamil-abdurahimov-fighter,19,4,0,0,0.8260869565217391
Daichi Abe,daichi-abe-fighter,6,2,0,0,0.75
Israel Adesanya,israel-adesanya-fighter,15,0,0,0,1.0
Jessica Aguilar,jessica-aguilar-fighter,20,7,0,0,0.7407407407407407
Kevin Aguilar,kevin-aguilar-fighter,16,1,0,0,0.9411764705882353
Omari Akhmedov,omari-akhmedov-fighter,17,4,1,0,0.8095238095238095
Junior Albini,junior-albini-fighter,14,4,0,0,0.7777777777777778
Alexandra Albu,alexandra-albu-fighter,7,0,0,0,1.0
Iuri Alcantara,iuri-alcantara-fighter,35,10,0,1,0.7777777777777778
Hector Aldana,hector-aldana-fighter,4,3,0,0,0.5714285714285714
Irene Aldana,irene-aldana-fighter,9,4,0,0,0.6923076923076923
Jose Aldo,jose-aldo-fighter,27,4,0,0,0.8709677419354839
JJ Aldrich,jj-aldrich-fighter,7,2,0,0,0.7777777777777778
Sultan Aliev,sultan-aliev-fighter,14,3,0,0,0.8235294117647058
Arnold Allen,arnold-allen-fighter,13,1,0,0,0.9285714285714286
Thomas Almeida,thomas-almeida-fighter,22,3,0,0,0.88
Eddie Alvarez,eddie-alvarez-fighter,29,6,0,1,0.8285714285714286
Jaime Alvarez,jamie-alvarez-fighter,6,1,0,0,0.8571428571428571
Thiago Alves,thiago-alves-fighter,27,13,0,0,0.675
Warlley Alves,warlley-alves-fighter,13,3,0,0,0.8125
Sam Alvey,sam-alvey-fighter,33,11,0,1,0.75
Makwan Amirkhani,makwan-amirkhani-fighter,14,3,0,0,0.8235294117647058
Eryk Anders,eryk-anders-fighter,11,3,0,0,0.7857142857142857
Corey Anderson,corey-anderson-fighter,12,4,0,0,0.75
Megan Anderson,megan-anderson-fighter,8,3,0,0,0.7272727272727273
Jessica Andrade,jessica-andrade-fighter,19,6,0,0,0.76
Magomed Ankalaev,magomed-ankalaev-fighter,10,1,0,0,0.9090909090909091
Nina Ansaroff,nina-ansaroff-fighter,10,5,0,0,0.6666666666666666
Gadzhimurad Antigulov,gadzhimurad-antigulov-fighter,20,5,0,0,0.8
Zu Anyanwu,zu-anyanwu-fighter,14,5,0,0,0.7368421052631579
Shinsho Anzai,shinsho-anzai-fighter,10,3,0,0,0.7692307692307693
Felipe Arantes,felipe-arantes-fighter,18,10,1,2,0.6428571428571429
Julio Arce,julio-arce-fighter,15,3,0,0,0.8333333333333334
Andrei Arlovski,andrei-arlovski-fighter,27,17,0,1,0.6136363636363636
Austin Arnett,austin-arnett-fighter,16,5,0,0,0.7619047619047619
