Name,FIGHTS,STR_F_TOT,TSAC_F_TOT,TD_F_TOT,TDAC_F_TOT,KD_F_TOT,PASS_F_TOT,REV_F_TOT,SUB_F_TOT,SIG_STR_F_TOT,SIG_ACC_F_TOT,SIG_HEAD_F_TOT,SIG_HEAD_ACC_F_TOT,SIG_BODY_F_TOT,SIG_BODY_ACC_F_TOT,SIG_LEG_F_TOT,SIG_LEG_ACC_F_TOT,STR_O_TOT,TSAC_O_TOT,TD_O_TOT,TDAC_O_TOT,KD_O_TOT,PASS_O_TOT,REV_O_TOT,SUB_O_TOT,SIG_STR_O_TOT,SIG_ACC_O_TOT,SIG_HEAD_O_TOT,SIG_HEAD_ACC_O_TOT,SIG_BODY_O_TOT,SIG_BODY_ACC_O_TOT,SIG_LEG_O_TOT,SIG_LEG_ACC_O_TOT,STR_F_FIGHT,TSAC_F_FIGHT,TD_F_FIGHT,TDAC_F_FIGHT,KD_F_FIGHT,PASS_F_FIGHT,REV_F_FIGHT,SUB_F_FIGHT,SIG_STR_F_FIGHT,SIG_ACC_F_FIGHT,SIG_HEAD_F_FIGHT,SIG_HEAD_ACC_F_FIGHT,SIG_BODY_F_FIGHT,SIG_BODY_ACC_F_FIGHT,SIG_LEG_F_FIGHT,SIG_LEG_ACC_F_FIGHT,STR_O_FIGHT,TSAC_O_FIGHT,TD_O_FIGHT,TDAC_O_FIGHT,KD_O_FIGHT,PASS_O_FIGHT,REV_O_FIGHT,SUB_O_FIGHT,SIG_STR_O_FIGHT,SIG_ACC_O_FIGHT,SIG_HEAD_O_FIGHT,SIG_HEAD_ACC_O_FIGHT,SIG_BODY_O_FIGHT,SIG_BODY_ACC_O_FIGHT,SIG_LEG_O_FIGHT,SIG_LEG_ACC_O_FIGHT,ROUNDS,STR_F_ROUND,TSAC_F_ROUND,TD_F_ROUND,TDAC_F_ROUND,KD_F_ROUND,PASS_F_ROUND,REV_F_ROUND,SUB_F_ROUND,SIG_STR_F_ROUND,SIG_ACC_F_ROUND,SIG_HEAD_F_ROUND,SIG_HEAD_ACC_F_ROUND,SIG_BODY_F_ROUND,SIG_BODY_ACC_F_ROUND,SIG_LEG_F_ROUND,SIG_LEG_ACC_F_ROUND,STR_O_ROUND,TSAC_O_ROUND,TD_O_ROUND,TDAC_O_ROUND,KD_O_ROUND,PASS_O_ROUND,REV_O_ROUND,SUB_O_ROUND,SIG_STR_O_ROUND,SIG_ACC_O_ROUND,SIG_HEAD_O_ROUND,SIG_HEAD_ACC_O_ROUND,SIG_BODY_O_ROUND,SIG_BODY_ACC_O_ROUND,SIG_LEG_O_ROUND,SIG_LEG_ACC_O_ROUND,MINS,STR_F_MIN,TSAC_F_MIN,TD_F_MIN,TDAC_F_MIN,KD_F_MIN,PASS_F_MIN,REV_F_MIN,SUB_F_MIN,SIG_STR_F_MIN,SIG_ACC_F_MIN,SIG_HEAD_F_MIN,SIG_HEAD_ACC_F_MIN,SIG_BODY_F_MIN,SIG_BODY_ACC_F_MIN,SIG_LEG_F_MIN,SIG_LEG_ACC_F_MIN,STR_O_MIN,TSAC_O_MIN,TD_O_MIN,TDAC_O_MIN,KD_O_MIN,PASS_O_MIN,REV_O_MIN,SUB_O_MIN,SIG_STR_O_MIN,SIG_ACC_O_MIN,SIG_HEAD_O_MIN,SIG_HEAD_ACC_O_MIN,SIG_BODY_O_MIN,SIG_BODY_ACC_O_MIN,SIG_LEG_O_MIN,SIG_LEG_ACC_O_MIN
Daichi Abe,3,175,34.0%,1,50.0%,1,1,0,0,171,33.7%,102,25.2%,12,44.4%,57,74.0%,203,43.2%,1,100.0%,0,0,0,0,202,43.1%,93,29.8%,28,57.1%,81,75.0%,58.333,34.0%,0.33,50.0%,0.33299999999999996,0.33299999999999996,0.0,0.0,57.0,33.7%,34.0,25.2%,4.0,44.4%,19.0,74.0%,67.667,43.2%,0.33,100.0%,0.0,0.0,0.0,0.0,67.333,43.1%,31.0,29.8%,9.333,57.1%,27.0,75.0%,9,19.444000000000003,34.0%,0.11,50.0%,0.111,0.111,0.0,0.0,19.0,33.7%,11.333,25.2%,1.3330000000000002,44.4%,6.332999999999999,74.0%,22.555999999999997,43.2%,0.11,100.0%,0.0,0.0,0.0,0.0,22.444000000000003,43.1%,10.333,29.8%,3.111,57.1%,9.0,75.0%,45,3.889,34.0%,0.02,50.0%,0.022000000000000002,0.022000000000000002,0.0,0.0,3.8,33.7%,2.267,25.2%,0.267,44.4%,1.2670000000000001,74.0%,4.511,43.2%,0.02,100.0%,0.0,0.0,0.0,0.0,4.489,43.1%,2.0669999999999997,29.8%,0.622,57.1%,1.8,75.0%
Jessica Aguilar,5,339,57.8%,4,26.7%,0,1,0,0,264,52.2%,145,38.8%,61,83.6%,58,98.3%,493,50.5%,5,41.7%,0,6,2,1,366,43.9%,273,38.2%,66,75.9%,27,87.1%,67.8,57.8%,0.8,26.7%,0.0,0.2,0.0,0.0,52.8,52.2%,29.0,38.8%,12.2,83.6%,11.6,98.3%,98.6,50.5%,1.0,41.7%,0.0,1.2,0.4,0.4,73.2,43.9%,54.6,38.2%,13.2,75.9%,5.4,87.1%,13,26.076999999999998,57.8%,0.31,26.7%,0.0,0.077,0.0,0.0,20.308,52.2%,11.154000000000002,38.8%,4.692,83.6%,4.462,98.3%,37.923,50.5%,0.38,41.7%,0.0,0.462,0.154,0.154,28.154,43.9%,21.0,38.2%,5.077,75.9%,2.077,87.1%,63,5.381,57.8%,0.06,26.7%,0.0,0.016,0.0,0.0,4.19,52.2%,2.2769999999999997,38.8%,0.968,83.6%,0.9209999999999999,98.3%,7.702999999999999,50.5%,0.08,41.7%,0.0,0.094,0.031,0.031,5.718999999999999,43.9%,4.266,38.2%,1.031,75.9%,0.42200000000000004,87.1%
Omari Akhmedov,10,445,41.9%,19,51.4%,2,7,0,0,296,33.5%,211,25.4%,48,61.5%,37,61.7%,401,48.8%,9,50.0%,2,11,2,1,291,41.7%,216,31.6%,42,62.7%,33,71.7%,44.5,41.9%,1.9,51.4%,0.2,0.7,0.0,0.2,29.6,33.5%,21.1,25.4%,4.8,61.5%,3.7,61.7%,40.1,48.8%,0.9,50.0%,0.2,1.1,0.2,1.0,29.1,41.7%,21.6,31.6%,4.2,62.7%,3.3,71.7%,23,19.348,41.9%,0.83,51.4%,0.087,0.304,0.0,0.087,12.87,33.5%,9.174,25.4%,2.0869999999999997,61.5%,1.609,61.7%,17.435,48.8%,0.39,50.0%,0.087,0.478,0.087,0.435,12.652000000000001,41.7%,9.391,31.6%,1.8259999999999998,62.7%,1.435,71.7%,108,4.12,41.9%,0.18,51.4%,0.019,0.065,0.0,0.019,2.741,33.5%,1.945,25.4%,0.444,61.5%,0.34299999999999997,61.7%,3.713,48.8%,0.08,50.0%,0.019,0.102,0.019,0.09300000000000001,2.694,41.7%,2.0,31.6%,0.389,62.7%,0.306,71.7%
Junior Albini,4,112,58.9%,1,50.0%,1,1,0,0,79,50.6%,53,43.4%,17,70.8%,9,90.0%,141,49.6%,0,0.0%,0,0,0,1,121,46.4%,65,33.7%,31,75.6%,25,92.6%,28.0,58.9%,0.25,50.0%,0.25,0.25,0.0,0.0,19.75,50.6%,13.25,43.4%,4.25,70.8%,2.25,90.0%,35.25,49.6%,0.0,0.0%,0.0,0.0,0.0,0.25,30.25,46.4%,16.25,33.7%,7.75,75.6%,6.25,92.6%,5,22.4,58.9%,0.2,50.0%,0.2,0.2,0.0,0.0,15.8,50.6%,10.6,43.4%,3.4,70.8%,1.8,90.0%,28.2,49.6%,0.0,0.0%,0.0,0.0,0.0,0.2,24.2,46.4%,13.0,33.7%,6.2,75.6%,5.0,92.6%,19,5.895,58.9%,0.05,50.0%,0.053,0.053,0.0,0.0,4.158,50.6%,2.7039999999999997,43.4%,0.895,70.8%,0.474,90.0%,7.05,49.6%,0.0,0.0%,0.0,0.0,0.0,0.05,6.05,46.4%,3.25,33.7%,1.55,75.6%,1.25,92.6%
Alexandra Albu,3,162,54.9%,5,55.6%,0,2,0,1,124,51.0%,94,46.5%,24,68.6%,6,100.0%,195,67.9%,2,18.2%,0,2,1,0,118,58.4%,66,45.8%,26,83.9%,26,96.3%,54.0,54.9%,1.67,55.6%,0.0,0.667,0.0,0.33299999999999996,41.333,51.0%,31.333000000000002,46.5%,8.0,68.6%,2.0,100.0%,65.0,67.9%,0.67,18.2%,0.0,0.667,0.33299999999999996,0.0,39.333,58.4%,22.0,45.8%,8.667,83.9%,8.667,96.3%,5,32.4,54.9%,1.0,55.6%,0.0,0.4,0.0,0.2,24.8,51.0%,18.8,46.5%,4.8,68.6%,1.2,100.0%,39.0,67.9%,0.4,18.2%,0.0,0.4,0.2,0.0,23.6,58.4%,13.2,45.8%,5.2,83.9%,5.2,96.3%,23,7.042999999999999,54.9%,0.22,55.6%,0.0,0.087,0.0,0.043,5.391,51.0%,3.989,46.5%,1.043,68.6%,0.261,100.0%,8.125,67.9%,0.08,18.2%,0.0,0.083,0.042,0.0,4.917,58.4%,2.75,45.8%,1.083,83.9%,1.083,96.3%
Iuri Alcantara,18,725,54.6%,17,63.0%,4,39,1,2,472,45.9%,310,35.6%,125,72.7%,37,77.1%,1039,65.7%,27,40.3%,0,16,5,0,485,51.3%,358,46.1%,51,59.3%,76,67.3%,40.278,54.6%,0.94,63.0%,0.222,2.167,0.055999999999999994,0.556,26.221999999999998,45.9%,17.222,35.6%,6.944,72.7%,2.056,77.1%,57.722,65.7%,1.5,40.3%,0.0,0.889,0.278,0.0,26.944000000000003,51.3%,19.889,46.1%,2.833,59.3%,4.2219999999999995,67.3%,40,18.125,54.6%,0.43,63.0%,0.1,0.975,0.025,0.25,11.8,45.9%,7.75,35.6%,3.125,72.7%,0.925,77.1%,25.975,65.7%,0.68,40.3%,0.0,0.4,0.125,0.0,12.125,51.3%,8.95,46.1%,1.275,59.3%,1.9,67.3%,174,4.167,54.6%,0.1,63.0%,0.023,0.22399999999999998,0.006,0.057,2.713,45.9%,1.7790000000000001,35.6%,0.718,72.7%,0.213,77.1%,5.971,65.7%,0.16,40.3%,0.0,0.092,0.028999999999999998,0.0,2.787,51.3%,2.057,46.1%,0.293,59.3%,0.43700000000000006,67.3%
Irene Aldana,4,462,47.8%,2,50.0%,0,6,3,0,381,43.5%,268,37.7%,38,62.3%,75,72.1%,462,40.8%,1,4.5%,1,1,1,0,425,39.0%,285,32.5%,65,55.6%,75,78.9%,115.5,47.8%,0.5,50.0%,0.0,1.5,0.75,0.0,95.25,43.5%,67.0,37.7%,9.5,62.3%,18.75,72.1%,115.5,40.8%,0.25,4.5%,0.25,0.25,0.25,0.0,106.25,39.0%,71.25,32.5%,16.25,55.6%,18.75,78.9%,12,38.5,47.8%,0.17,50.0%,0.0,0.5,0.25,0.0,31.75,43.5%,22.333000000000002,37.7%,3.167,62.3%,6.25,72.1%,38.5,40.8%,0.08,4.5%,0.083,0.083,0.083,0.0,35.417,39.0%,23.75,32.5%,5.417000000000001,55.6%,6.25,78.9%,60,7.7,47.8%,0.03,50.0%,0.0,0.1,0.05,0.0,6.35,43.5%,4.467,37.7%,0.633,62.3%,1.25,72.1%,7.7,40.8%,0.02,4.5%,0.017,0.017,0.017,0.0,7.082999999999999,39.0%,4.75,32.5%,1.083,55.6%,1.25,78.9%
Jose Aldo,14,794,45.7%,12,66.7%,4,12,0,0,680,42.1%,510,45.9%,85,61.6%,85,85.9%,795,40.8%,6,9.4%,3,4,0,0,573,33.9%,346,35.7%,111,56.1%,116,65.5%,56.714,45.7%,0.86,66.7%,0.28600000000000003,0.857,0.0,0.214,48.571000000000005,42.1%,36.429,45.9%,6.071000000000001,61.6%,6.071000000000001,85.9%,56.786,40.8%,0.43,9.4%,0.214,0.28600000000000003,0.0,0.0,40.929,33.9%,24.714000000000002,35.7%,7.928999999999999,56.1%,8.286,65.5%,45,17.644000000000002,45.7%,0.27,66.7%,0.08900000000000001,0.267,0.0,0.067,15.110999999999999,42.1%,11.333,45.9%,1.889,61.6%,1.889,85.9%,17.667,40.8%,0.13,9.4%,0.067,0.08900000000000001,0.0,0.0,12.732999999999999,33.9%,7.689,35.7%,2.467,56.1%,2.5780000000000003,65.5%,215,3.693,45.7%,0.06,66.7%,0.019,0.055999999999999994,0.0,0.013999999999999999,3.1630000000000003,42.1%,2.366,45.9%,0.395,61.6%,0.395,85.9%,3.681,40.8%,0.03,9.4%,0.013999999999999999,0.019,0.0,0.0,2.653,33.9%,1.6019999999999999,35.7%,0.514,56.1%,0.537,65.5%
JJ Aldrich,4,326,48.9%,1,16.7%,0,2,0,0,223,39.9%,167,34.6%,33,66.0%,23,85.2%,333,44.3%,5,41.7%,0,3,0,0,232,36.3%,114,24.4%,58,61.7%,60,77.9%,81.5,48.9%,0.25,16.7%,0.0,0.5,0.0,0.0,55.75,39.9%,41.75,34.6%,8.25,66.0%,5.75,85.2%,83.25,44.3%,1.25,41.7%,0.0,0.75,0.0,0.0,58.0,36.3%,28.5,24.4%,14.5,61.7%,15.0,77.9%,12,27.166999999999998,48.9%,0.08,16.7%,0.0,0.16699999999999998,0.0,0.0,18.583,39.9%,13.917,34.6%,2.75,66.0%,1.9169999999999998,85.2%,27.75,44.3%,0.42,41.7%,0.0,0.25,0.0,0.0,19.333,36.3%,9.5,24.4%,4.833,61.7%,5.0,77.9%,60,5.433,48.9%,0.02,16.7%,0.0,0.033,0.0,0.0,3.717,39.9%,2.783,34.6%,0.55,66.0%,0.38299999999999995,85.2%,5.55,44.3%,0.08,41.7%,0.0,0.05,0.0,0.0,3.867,36.3%,1.9,24.4%,0.9670000000000001,61.7%,1.0,77.9%
Sultan Aliev,6,108,72.5%,3,50.0%,0,3,1,0,35,51.5%,29,48.3%,5,71.4%,1,100.0%,219,66.8%,0,0.0%,2,1,0,0,90,46.6%,29,27.6%,34,59.6%,27,87.1%,18.0,72.5%,0.5,50.0%,0.0,0.5,0.16699999999999998,0.0,5.832999999999999,51.5%,4.833,48.3%,0.833,71.4%,0.16699999999999998,100.0%,36.5,66.8%,0.0,0.0%,0.33299999999999996,0.16699999999999998,0.0,0.16699999999999998,15.0,46.6%,4.833,27.6%,5.667000000000001,59.6%,4.5,87.1%,9,12.0,72.5%,0.33,50.0%,0.0,0.33299999999999996,0.111,0.0,3.889,51.5%,3.222,48.3%,0.556,71.4%,0.111,100.0%,24.333000000000002,66.8%,0.0,0.0%,0.222,0.111,0.0,0.111,10.0,46.6%,3.222,27.6%,3.778,59.6%,3.0,87.1%,33,3.273,72.5%,0.09,50.0%,0.0,0.091,0.03,0.0,1.061,51.5%,0.857,48.3%,0.152,71.4%,0.03,100.0%,6.441,66.8%,0.0,0.0%,0.059000000000000004,0.028999999999999998,0.0,0.028999999999999998,2.647,46.6%,0.853,27.6%,1.0,59.6%,0.794,87.1%
