Full_Name,Country,Age,Height
Andrei Arlovski,Belarus,39,75
Alistair Overeem,Netherlands,38,77
Cain Velasquez,United States,36,73
Fabricio Werdum,Brazil,41,76
Junior dos Santos,Brazil,34,76
Stefan Struve,Netherlands,30,84
Todd Duffee,United States,33,76
Ben Rothwell,United States,37,76
Travis Browne,United States,36,79
Daniel Cormier,United States,39,71
Stipe Miocic,United States,36,76
Walt Harris,United States,35,77
Derrick Lewis,United States,33,75
Marcos Rogerio de Lima,Brazil,33,73
Ruslan Magomedov,Russian Federation,32,75
Aleksei Oleinik,Russian Federation,41,74
Jarjis Danho,Syria,35,75
Shamil Abdurakhimov,Russian Federation,37,75
Chris de la Rocha,United States,39,75
Francis Ngannou,Cameroon,32,76
Curtis Blaydes,United States,27,76
Cyril Asker,France,32,72
Marcin Tybura,Poland,33,75
Dmitry Smolyakov,Russian Federation,36,74
Alexander Volkov,Russian Federation,30,79
Daniel Spitz,United States,28,79
Justin Willis,United States,31,75
Junior Albini,Brazil,27,75
Arjan Bhullar,Canada,32,73
Marcelo Golm,Brazil,26,75
Adam Wieczorek,Poland,26,77
Tai Tuivasa,Australia,25,74
Allen Crowder,United States,29,75
Dmitry Sosnovskiy,Russian Federation,29,75
Blagoy Ivanov,Bulgaria,32,71
Augusto Sakai,Brazil,27,76
Sergey Pavlovich,Russian Federation,26,75
Maurice Greene,United States,32,79
Michel Batista,Cuba,34,75
Justin Frazier,United States,29,72
Juan Espino,Spain,38,76
Juan Adams,United States,26,77
Ed Herman,United States,38,74
Mauricio Rua,Brazil,37,73
Jon Jones,United States,31,76
Igor Pokrajac,Croatia,39,72
Alexander Gustafsson,Sweden,31,77
Antonio Rogerio Nogueira,Brazil,42,74
Ovince Saint Preux,United States,35,75
Daniel Cormier,United States,39,71
Gian Villante,United States,33,74
Glover Teixeira,Brazil,39,74
Jimi Manuwa,England,38,74
Ilir Latifi,Sweden,35,70
Thiago Santos,Brazil,34,72
Nikita Krylov,Ukraine,26,72
Patrick Cummins,United States,38,74
Corey Anderson,United States,29,75
Sam Alvey,United States,32,74
Jan Blachowicz,Poland,35,74
Jake Collier,United States,30,75
Misha Cirkunov,Canada,31,75
Anthony Smith,United States,30,77
Ion Cutelaba,Moldova,25,73
Khalil Rountree,United States,28,73
Devin Clark,United States,28,72
Justin Ledet,United States,30,76
Gadzhimurad Antigulov,Russian Federation,31,71
Tyson Pedro,Australia,27,75
Saparbek Safarov,Russian Federation,32,73
Paul Craig,Scotland,31,76
Bojan Mihajlovic,Serbia,38,71
Volkan Oezdemir,Switzerland,29,74
Rashad Coulter,United States,37,71
Dominick Reyes,United States,28,76
Nick Roehrick,United States,31,75
Eryk Anders,United States,31,74
Aleksandar Rakic,Austria,26,77
Gokhan Saki,Turkey,35,72
Yaozong Hu,China,23,74
Michal Oleksiejczuk,Poland,23,72
Marcin Prachnio,Poland,30,75
Magomed Ankalaev,Russian Federation,26,74
Mike Rodriguez,United States,30,75
Darko Stosic,Serbia,26,72
Ryan Spann,United States,27,77
Johnny Walker,England,26,77
Jimmy Crute,Australia,23,74
Nick Diaz,United States,35,72
Anderson Silva,Brazil,43,74
Luke Rockhold,United States,34,75
CB Dollaway,United States,35,74
Ronaldo Souza,Brazil,39,73
David Branch,United States,37,73
Tim Boetsch,United States,37,72
Brad Tavares,United States,31,73
Chris Weidman,United States,34,74
Derek Brunson,United States,34,73
Trevor Smith,United States,37,75
Yoel Romero,Cuba,41,70
Marcelo Guimaraes,Brazil,35,72
Hector Lombard,Cuba,40,69
Cezar Ferreira,Brazil,33,73
Robert Whittaker,Australia,28,72
Uriah Hall,Jamaica,34,72
Antonio Braga Neto,Brazil,31,75
Kelvin Gastelum,United States,27,69
Zak Cummings,United States,34,72
Omari Akhmedov,Russian Federation,31,72
Krzysztof Jotko,Poland,29,73
Elias Theodorou,Canada,30,73
Antonio Carlos Junior,Brazil,28,73
Keith Berish,United States,33,72
Jared Cannonier,United States,34,71
Tom Breese,England,27,75
Jonathan Wilson,United States,31,74
Alessio Di Chirico,Italy,29,72
Andrew Sanchez,United States,30,73
Marvin Vettori,Italy,25,72
Jack Hermansson,Sweden,30,73
Jack Marshman,Wales,29,72
Darren Stewart,England,27,70
Gerald Meerschaert,United States,31,73
Jordan Johnson,United States,30,74
Paulo Costa,Brazil,27,72
Trevin Giles,United States,26,72
Karl Roberson,United States,28,73
Markus Perez,Brazil,28,74
Julian Marquez,United States,28,74
Israel Adesanya,Nigeria,29,74
Charles Byrd,United States,35,70
John Phillips,Wales,33,71
Oskar Piechota,Poland,28,72
Abu Azaitar,Germany,32,70
Kevin Holland,United States,26,75
Khalid Murtazaliev,Russian Federation,25,71
Adam Yandiev,Russian Federation,30,71
Ian Heinisch,United States,30,71
Edmen Shahbazyan,United States,21,74
Robbie Lawler,United States,36,71
Diego Sanchez,United States,36,70
Thiago Alves,Brazil,35,69
Josh Burkman,United States,38,70
Yushin Okami,Japan,37,74
