Year,Period,Title,Title_Year,Rating
2016,Spring,Black Mass,,7.3
2016,Spring,How to Train Your Dragon 2,,8.6
2016,Spring,Goodnight Mommy,,8
2016,Spring,The SpongeBob Movie: Sponge Out of Water,,6
2016,Spring,The Big Short,,9.4
2016,Spring,The Voices,,6.8
2016,Spring,Unfriended,,3.9
2016,Spring,The King of Kong: A Fistful of Quarters,,8.5
2016,Spring,Anomalisa,,8.3
2016,Spring,The World of Tomorrow,,8.4
2016,Spring,Deadpool,,8.6
2016,Spring,The Best Of Enemies,,9.3
2016,Spring,Spectre,,7
2016,Spring,Sinister,,4.5
2016,Spring,Le Week-End,,7.2
2016,Spring,Bridge of Spies,,8
2016,Spring,The Conspiracy,,7.3
2016,Spring,Annabelle,,1.5
2016,Spring,The Gambler,,7.4
2016,Spring,Chi-Raq,,6.8
2016,Spring,Hannibal Buress: Live from Chicago,,8.4
2016,Spring,Spotlight,,9.2
2016,Spring,10 Cloverfield Lane,,8.2
2016,Spring,Tell Spring Not to Come This Year,,9.3
2016,Spring,El Narco,,8.7
2016,Spring,Krisha,,9.3
2016,Spring,Steve Jobs,,9.1
2016,Spring,Don Verdean,,3
2016,Spring,Captain America: Civil War,,8.9
2016,Spring,Minions,,4.1
2016,Spring,Man Up,,8
2016,Summer,Chappie,,3
2016,Summer,Fury,,7.8
2016,Summer,The Man from U.N.C.L.E.,,6.4
2016,Summer,Goosebumps,,6.7
2016,Summer,We Are Still Here,,8
2016,Summer,Spy,,8.3
2016,Summer,The Nice Guys,,9.5
2016,Summer,Hush,,8.5
2016,Summer,The Diary of a Teenage Girl,,8.3
2016,Summer,Sleeping with Other People,,7.3
2016,Summer,The Gift,,8.8
2016,Summer,The Witch,,9.2
2016,Summer,Pumping Iron,,8.4
2016,Summer,Sonatine,,6.2
2016,Summer,X-Men: Apocalypse,,5.8
2016,Summer,Pixels,,4
2016,Summer,Legend,,6.3
2016,Summer,"Hail, Caesar!",,6.4
2016,Summer,Midnight Special,,8.2
2016,Summer,Mississippi Grind,,7.8
2016,Summer,The Conjuring 2,,7.9
2016,Summer,99 Homes,,8.5
2016,Summer,Aloha,,3
2016,Summer,Bo Burnham: Make Happy,,9
2016,Summer,"Planes, Trains & Automobiles",,8.3
2016,Summer,Mr. Right,,4.7
2016,Summer,Batman v Superman: Dawn of Justice,,3.8
2016,Summer,Trumbo,,8.3
2016,Summer,Hard Candy,,4.2
2016,Summer,Pitch Perfect 2,,6.2
2016,Summer,The Boxtrolls,,7.5
2016,Summer,The Propaganda Game,,8.9
2016,Summer,Ted 2,,6.5
2016,Summer,Hot Tub Time Machine 2,,2.9
2016,Summer,Kung Fu Panda 3,,8.7
2016,Summer,Zootopia,,9.5
2016,Summer,Lolita,,7.5
2016,Summer,Jim Jefferies: Freedumb,,7.5
2016,Summer,Horns,,4
2016,Summer,Bulworth,,8.1
2016,Summer,Star Trek: Into Darkness,,7.8
2016,Summer,Furious 7,,6.3
2016,Summer,Insidious: Chapter 3,,3
2016,Summer,Jason Bourne,,6.9
2016,Summer,The Night Before,,6
2016,Summer,Hellraiser,,1.5
2016,Summer,The Overnight,,6.5
2016,Summer,Everybody Wants Some!!,,9.2
2016,Summer,Fracture,,6
2016,Summer,The Stanford Prison Experiment,,7.7
2016,Summer,The Peanuts Movie,,9
2016,Summer,Bill Burr: I'm Sorry You Feel That Way,,8.7
2016,Fall,The Queen of Versailles,,8.4
2016,Fall,American Ultra,,3.7
2016,Fall,Youth,,9
2016,Fall,The Barkley Marathons: The Race That Eats Its Young,,7
2016,Fall,Starred Up,,8.5
2016,Fall,Brooklyn,,9.3
2016,Fall,Art & Copy,,7
2016,Fall,No No: A Dockumentary,,8.9
2016,Fall,Deliverance,,8.1
2016,Fall,Let Us Prey,,8.5
2016,Fall,28 Weeks Later,,6.7
2016,Fall,Children of the Sun,,8
2016,Fall,Cronos,,6.9
2016,Fall,Son of Saul,,8.9
2016,Fall,Sisters,,6.2
2016,Fall,Southbound,,7.5
2016,Fall,Moonlight,,10
2016,Fall,Arrival,,10
2016,Fall,Everything Is Illuminated,,5.8
2016,Fall,Friday the 13th,,2.5
2016,Fall,Michael Che Matters,,8.5
2016,Fall,Loving,,8.4
2016,Fall,Eye in the Sky,,9.2
2016,Winter Break,The Angry Birds Movie,,3.4
2016,Winter Break,My Life in Ruins,,1.2
2016,Winter Break,Iris,,7.2
