Key,Year,Period,Title,Title_Year,Juan_Rating,Type,Released,Runtime,genres,IMDB_Rating,Votes,Rating_Diff,Top_Genre
1,2016,Spring,Black Mass,,7.3,movie,2015,123,"Biography,Crime,Drama",6.9,152523.0,0.39999999999999947,Biography
3,2016,Spring,How to Train Your Dragon 2,,8.6,movie,2014,102,"Action,Adventure,Animation",7.8,262950.0,0.7999999999999998,Action
4,2016,Spring,Goodnight Mommy,,8.0,movie,2014,99,"Horror,Mystery,Thriller",6.7,34135.0,1.2999999999999998,Horror
5,2016,Spring,The SpongeBob Movie: Sponge Out of Water,,6.0,movie,2015,92,"Adventure,Animation,Comedy",6.0,42142.0,0.0,Adventure
6,2016,Spring,The Big Short,,9.4,movie,2015,130,"Biography,Comedy,Drama",7.8,295212.0,1.6000000000000005,Biography
8,2016,Spring,The Voices,,6.8,movie,2014,103,"Comedy,Crime,Horror",6.4,46837.0,0.39999999999999947,Comedy
9,2016,Spring,Unfriended,,3.9,movie,2014,83,"Horror,Mystery",5.6,59963.0,-1.6999999999999997,Horror
11,2016,Spring,The King of Kong: A Fistful of Quarters,,8.5,movie,2007,79,"Biography,Documentary,Sport",8.1,32988.0,0.40000000000000036,Biography
12,2016,Spring,Anomalisa,,8.3,movie,2015,90,"Animation,Comedy,Drama",7.3,56021.0,1.0000000000000009,Animation
14,2016,Spring,The World of Tomorrow,,8.4,video,2005,6,"Action,Sci-Fi,Short",6.8,174.0,1.6000000000000005,Action
15,2016,Spring,Deadpool,,8.6,movie,2016,108,"Action,Adventure,Comedy",8.0,785196.0,0.5999999999999996,Action
16,2016,Spring,The Best Of Enemies,,9.3,,,,,,,,
20,2016,Spring,Spectre,,7.0,movie,2015,148,"Action,Adventure,Thriller",6.8,344055.0,0.20000000000000018,Action
23,2016,Spring,Sinister,,4.5,movie,2012,110,"Horror,Mystery,Thriller",6.8,193054.0,-2.3,Horror
24,2016,Spring,Le Week-End,,7.2,movie,2013,93,"Comedy,Drama,Romance",6.3,7174.0,0.9000000000000004,Comedy
25,2016,Spring,Bridge of Spies,,8.0,movie,2015,142,"Drama,History,Thriller",7.6,255595.0,0.40000000000000036,Drama
27,2016,Spring,The Conspiracy,,7.3,movie,2012,84,"Horror,Thriller",6.3,9048.0,1.0,Horror
29,2016,Spring,Annabelle,,1.5,movie,2014,99,"Horror,Mystery,Thriller",5.4,116419.0,-3.9000000000000004,Horror
35,2016,Spring,The Gambler,,7.4,movie,2014,111,"Crime,Drama,Thriller",6.0,58458.0,1.4000000000000004,Crime
39,2016,Spring,Chi-Raq,,6.8,movie,2015,127,"Comedy,Crime,Drama",5.7,7811.0,1.0999999999999996,Comedy
40,2016,Spring,Hannibal Buress: Live from Chicago,,8.4,tvSpecial,2014,67,"Comedy,Documentary",7.4,665.0,1.0,Comedy
43,2016,Spring,Spotlight,,9.2,movie,2015,129,"Crime,Drama,History",8.1,347944.0,1.0999999999999996,Crime
46,2016,Spring,10 Cloverfield Lane,,8.2,movie,2016,103,"Drama,Horror,Mystery",7.2,251670.0,0.9999999999999991,Drama
47,2016,Spring,Tell Spring Not to Come This Year,,9.3,movie,2015,84,"Documentary,War",7.0,339.0,2.3000000000000007,Documentary
48,2016,Spring,El Narco,,8.7,movie,2010,145,"Action,Comedy,Crime",7.8,7069.0,0.8999999999999995,Action
50,2016,Spring,Krisha,,9.3,movie,2015,83,Drama,7.2,5635.0,2.1000000000000005,Drama
51,2016,Spring,Steve Jobs,,9.1,movie,2015,122,"Biography,Drama",7.2,135047.0,1.8999999999999995,Biography
52,2016,Spring,Don Verdean,,3.0,movie,2015,90,"Adventure,Comedy,Drama",5.4,4105.0,-2.4000000000000004,Adventure
53,2016,Spring,Captain America: Civil War,,8.9,movie,2016,147,"Action,Adventure,Sci-Fi",7.8,539777.0,1.1000000000000005,Action
54,2016,Spring,Minions,,4.1,movie,2015,91,"Action,Adventure,Animation",6.4,187069.0,-2.3000000000000007,Action
56,2016,Spring,Man Up,,8.0,movie,2015,88,"Comedy,Drama,Romance",6.8,42835.0,1.2000000000000002,Comedy
57,2016,Summer,Chappie,,3.0,movie,2015,120,"Action,Crime,Drama",6.8,209108.0,-3.8,Action
65,2016,Summer,Fury,,7.8,movie,2014,134,"Action,Drama,War",7.6,370946.0,0.20000000000000018,Action
66,2016,Summer,The Man from U.N.C.L.E.,,6.4,movie,2015,116,"Action,Adventure,Comedy",7.3,233960.0,-0.8999999999999995,Action
67,2016,Summer,Goosebumps,,6.7,movie,2015,103,"Adventure,Comedy,Family",6.3,69871.0,0.40000000000000036,Adventure
68,2016,Summer,We Are Still Here,,8.0,movie,2015,84,Horror,5.7,15092.0,2.3,Horror
73,2016,Summer,Spy,,8.3,movie,2015,119,"Action,Comedy,Crime",7.0,209451.0,1.3000000000000007,Action
75,2016,Summer,The Nice Guys,,9.5,movie,2016,116,"Action,Comedy,Crime",7.4,229182.0,2.0999999999999996,Action
93,2016,Summer,Hush,,8.5,movie,2016,82,"Horror,Thriller",6.6,72148.0,1.9000000000000004,Horror
98,2016,Summer,The Diary of a Teenage Girl,,8.3,movie,2015,102,"Comedy,Drama,Romance",6.9,26221.0,1.4000000000000004,Comedy
99,2016,Summer,Sleeping with Other People,,7.3,movie,2015,101,"Comedy,Drama,Romance",6.5,34738.0,0.7999999999999998,Comedy
131,2016,Summer,The Gift,,8.8,movie,2015,108,"Drama,Mystery,Thriller",7.1,119376.0,1.700000000000001,Drama
139,2016,Summer,The Witch,,9.2,movie,2015,92,"Horror,Mystery",6.8,143952.0,2.3999999999999995,Horror
141,2016,Summer,Pumping Iron,,8.4,movie,1977,86,"Documentary,Sport",7.4,19508.0,1.0,Documentary
143,2016,Summer,Sonatine,,6.2,movie,1993,94,"Action,Comedy,Crime",7.6,15579.0,-1.3999999999999995,Action
144,2016,Summer,X-Men: Apocalypse,,5.8,movie,2016,144,"Action,Adventure,Sci-Fi",7.0,338465.0,-1.2000000000000002,Action
147,2016,Summer,Pixels,,4.0,movie,2015,105,"Action,Comedy,Sci-Fi",5.6,116436.0,-1.5999999999999996,Action
152,2016,Summer,Legend,,6.3,movie,2015,132,"Biography,Crime,Drama",7.0,133549.0,-0.7000000000000002,Biography
154,2016,Summer,"Hail, Caesar!",,6.4,movie,2016,106,"Comedy,Mystery",6.3,107971.0,0.10000000000000053,Comedy
155,2016,Summer,Midnight Special,,8.2,movie,2016,112,"Action,Drama,Mystery",6.6,66476.0,1.5999999999999996,Action
156,2016,Summer,Mississippi Grind,,7.8,movie,2015,108,"Comedy,Drama",6.4,16323.0,1.3999999999999995,Comedy
157,2016,Summer,The Conjuring 2,,7.9,movie,2016,134,"Horror,Mystery,Thriller",7.4,184138.0,0.5,Horror
158,2016,Summer,99 Homes,,8.5,movie,2014,112,Drama,7.1,25837.0,1.4000000000000004,Drama
160,2016,Summer,Aloha,,3.0,movie,2015,105,"Comedy,Drama,Romance",5.4,51207.0,-2.4000000000000004,Comedy
161,2016,Summer,Bo Burnham: Make Happy,,9.0,tvSpecial,2016,60,"Comedy,Documentary,Music",8.4,5823.0,0.5999999999999996,Comedy
162,2016,Summer,"Planes, Trains & Automobiles",,8.3,movie,1987,93,Comedy,7.6,107532.0,0.7000000000000011,Comedy
165,2016,Summer,Mr. Right,,4.7,movie,2015,95,"Action,Comedy,Romance",6.3,39426.0,-1.5999999999999996,Action
167,2016,Summer,Batman v Superman: Dawn of Justice,,3.8,movie,2016,151,"Action,Adventure,Fantasy",6.5,557480.0,-2.7,Action
169,2016,Summer,Trumbo,,8.3,movie,2015,124,"Biography,Drama",7.5,67092.0,0.8000000000000007,Biography
171,2016,Summer,Hard Candy,,4.2,movie,2005,104,"Crime,Drama,Thriller",7.1,144804.0,-2.8999999999999995,Crime
172,2016,Summer,Pitch Perfect 2,,6.2,movie,2015,115,"Comedy,Music",6.4,126654.0,-0.20000000000000018,Comedy
173,2016,Summer,The Boxtrolls,,7.5,movie,2014,96,"Adventure,Animation,Comedy",6.8,49708.0,0.7000000000000002,Adventure
174,2016,Summer,The Propaganda Game,,8.9,movie,2015,98,Documentary,6.8,4098.0,2.1000000000000005,Documentary
175,2016,Summer,Ted 2,,6.5,movie,2015,115,Comedy,6.3,159748.0,0.20000000000000018,Comedy
176,2016,Summer,Hot Tub Time Machine 2,,2.9,movie,2015,93,"Comedy,Mystery,Sci-Fi",5.1,33766.0,-2.1999999999999997,Comedy
177,2016,Summer,Kung Fu Panda 3,,8.7,movie,2016,95,"Action,Adventure,Animation",7.1,110154.0,1.5999999999999996,Action
